*
Temp0 deg C	Temp1 deg C	Time (sec)
36.168865	21.408026	2.000000
35.869654	21.559675	4.000000
35.570361	21.559675	6.000000
35.121276	21.559675	8.000000
34.821776	21.559675	10.000000
34.522191	21.559675	12.000000
34.372357	21.559675	14.000000
34.222524	21.559675	16.000000
43.887639	21.559675	18.000000
249.766739	21.559675	20.000000
305.302934	21.559675	22.000000
310.590819	21.559675	24.000000
310.884321	21.559675	26.000000
309.857034	21.559675	28.000000
308.535824	21.256377	30.000000
307.067281	21.256377	32.000000
305.598147	21.408026	34.000000
303.981415	21.256377	36.000000
302.510993	21.256377	38.000000
300.892777	21.256377	40.000000
299.421003	21.256377	42.000000
298.095853	21.256377	44.000000
296.622800	21.256377	46.000000
295.149054	21.256377	48.000000
293.674598	21.256377	50.000000
292.199420	21.256377	52.000000
290.871110	21.256377	54.000000
289.542230	21.256377	56.000000
288.064951	21.408026	58.000000
286.882570	21.256377	60.000000
285.403883	21.256377	62.000000
284.072360	21.408026	64.000000
282.740219	21.408026	66.000000
281.555516	21.559675	68.000000
280.370279	21.559675	70.000000
279.036253	21.559675	72.000000
277.701509	21.408026	74.000000
276.514494	21.559675	76.000000
275.326918	21.559675	78.000000
274.138778	21.256377	80.000000
272.950066	21.408026	82.000000
271.909486	21.559675	84.000000
270.719691	21.559675	86.000000
269.380460	21.559675	88.000000
268.487233	21.559675	90.000000
267.295746	21.256377	92.000000
266.103662	21.256377	94.000000
265.060110	21.408026	96.000000
264.016068	21.408026	98.000000
262.822324	21.408026	100.000000
261.627971	21.256377	102.000000
260.731805	21.408026	104.000000
259.685818	21.408026	106.000000
258.639407	21.408026	108.000000
257.442903	21.256377	110.000000
256.545119	21.256377	112.000000
255.497279	21.256377	114.000000
254.448934	21.256377	116.000000
253.400144	21.256377	118.000000
252.350848	21.256377	120.000000
251.451086	21.256377	122.000000
250.250860	21.256377	124.000000
249.350284	21.256377	126.000000
248.299186	21.256377	128.000000
247.397855	21.256377	130.000000
246.345849	21.256377	132.000000
245.443767	21.256377	134.000000
244.541340	21.256377	136.000000
243.488088	21.256377	138.000000
242.434341	21.256377	140.000000
241.681404	21.256377	142.000000
240.626862	21.256377	144.000000
239.722616	21.256377	146.000000
238.818033	21.256377	148.000000
237.913115	21.256377	150.000000
237.007866	21.256377	152.000000
235.951338	21.256377	154.000000
235.045377	21.256377	156.000000
234.139090	21.559675	158.000000
233.383592	21.559675	160.000000
232.476717	21.256377	162.000000
231.418310	21.256377	164.000000
230.662020	21.256377	166.000000
229.754204	21.256377	168.000000
228.846080	21.559675	170.000000
227.937652	21.408026	172.000000
227.180412	21.559675	174.000000
226.271436	21.408026	176.000000
225.362166	21.559675	178.000000
224.452607	21.559675	180.000000
223.694412	21.559675	182.000000
222.784333	21.559675	184.000000
221.873977	21.559675	186.000000
221.115149	21.559675	188.000000
220.356112	21.559675	190.000000
219.596913	21.256377	192.000000
218.685622	21.256377	194.000000
217.774075	21.256377	196.000000
217.014250	21.256377	198.000000
216.254275	21.256377	200.000000
215.494111	21.256377	202.000000
214.733802	21.256377	204.000000
213.821206	21.256377	206.000000
213.060527	21.256377	208.000000
212.299712	21.256377	210.000000
211.538727	21.256377	212.000000
210.777613	21.256377	214.000000
209.864077	21.256377	216.000000
209.254940	21.256377	218.000000
208.493388	21.256377	220.000000
207.731720	21.256377	222.000000
206.969907	21.256377	224.000000
206.360373	21.256377	226.000000
205.445926	21.256377	228.000000
204.683764	21.256377	230.000000
204.073947	21.256377	232.000000
203.311571	21.256377	234.000000
202.701599	21.256377	236.000000
202.091561	21.256377	238.000000
201.328931	21.256377	240.000000
200.718753	21.408026	242.000000
200.108517	21.559675	244.000000
199.193058	21.559675	246.000000
198.582686	21.559675	248.000000
197.972263	21.559675	250.000000
197.209162	21.256377	252.000000
196.445998	21.408026	254.000000
195.835416	21.256377	256.000000
195.224793	21.256377	258.000000
194.614133	21.408026	260.000000
194.003438	21.256377	262.000000
193.240019	21.256377	264.000000
192.629253	21.256377	266.000000
191.865759	21.256377	268.000000
191.254934	21.256377	270.000000
190.644088	21.256377	272.000000
190.033222	21.256377	274.000000
189.422339	21.256377	276.000000
188.811441	21.256377	278.000000
188.200532	21.256377	280.000000
187.589613	21.408026	282.000000
186.978688	21.559675	284.000000
186.367758	21.559675	286.000000
185.756827	21.559675	288.000000
185.145897	21.559675	290.000000
184.534970	21.559675	292.000000
183.924050	21.559675	294.000000
183.313139	21.559675	296.000000
182.702239	21.559675	298.000000
182.091353	21.559675	300.000000
181.480484	21.559675	302.000000
180.869634	21.559675	304.000000
180.564218	21.559675	306.000000
179.953402	21.559675	308.000000
179.342613	21.559675	310.000000
178.731852	21.559675	312.000000
178.121123	21.559675	314.000000
177.510428	21.559675	316.000000
177.052430	21.559675	318.000000
176.441807	21.256377	320.000000
175.831214	21.408026	322.000000
175.373304	21.559675	324.000000
174.762797	21.559675	326.000000
174.152338	21.559675	328.000000
173.541931	21.559675	330.000000
173.084159	21.559675	332.000000
172.626423	21.559675	334.000000
172.016157	21.559675	336.000000
171.558495	21.559675	338.000000
171.100873	21.559675	340.000000
170.490765	21.559675	342.000000
169.880725	21.559675	344.000000
169.423239	21.559675	346.000000
168.965798	21.256377	348.000000
168.355939	21.256377	350.000000
167.746157	21.256377	352.000000
167.441296	21.256377	354.000000
166.831635	21.256377	356.000000
166.374442	21.256377	358.000000
165.917302	21.256377	360.000000
165.307856	21.256377	362.000000
164.850828	21.256377	364.000000
164.393857	21.256377	366.000000
163.784642	21.256377	368.000000
163.480071	21.256377	370.000000
162.871002	21.256377	372.000000
162.566505	21.256377	374.000000
161.957589	21.256377	376.000000
161.500967	21.256377	378.000000
161.044412	21.256377	380.000000
160.435762	21.256377	382.000000
160.131479	21.256377	384.000000
159.522997	21.256377	386.000000
159.066707	21.256377	388.000000
158.610490	21.256377	390.000000
158.002300	21.256377	392.000000
157.698250	21.256377	394.000000
157.090242	21.256377	396.000000
156.786285	21.256377	398.000000
156.178465	21.256377	400.000000
155.874603	21.256377	402.000000
155.266977	21.256377	404.000000
154.963213	21.256377	406.000000
154.355786	21.256377	408.000000
154.052123	21.256377	410.000000
153.444899	21.256377	412.000000
152.989568	21.408026	414.000000
152.686061	21.256377	416.000000
152.230871	21.559675	418.000000
151.927453	21.559675	420.000000
151.320726	21.559675	422.000000
