*
Temp0 deg C	Temp1 deg C	Time (sec)
291.120866	21.209930	2.000000
292.891936	21.209930	4.000000
293.629448	21.209930	6.000000
293.924401	21.209930	8.000000
293.924401	21.058235	10.000000
293.481957	20.906540	12.000000
292.596881	20.906540	14.000000
291.859105	20.906540	16.000000
290.973542	20.906540	18.000000
289.792371	20.906540	20.000000
288.610713	20.906540	22.000000
287.724146	20.906540	24.000000
286.541620	20.906540	26.000000
285.654394	20.906540	28.000000
284.175043	20.906540	30.000000
282.990978	20.906540	32.000000
281.806387	21.209930	34.000000
280.621263	21.058235	36.000000
279.287332	21.058235	38.000000
278.101056	20.906540	40.000000
276.765856	20.906540	42.000000
275.875316	20.906540	44.000000
274.984460	20.906540	46.000000
273.796155	20.906540	48.000000
272.607279	20.906540	50.000000
271.417825	20.906540	52.000000
270.227789	20.906540	54.000000
269.037167	20.906540	56.000000
268.143813	20.906540	58.000000
266.952154	20.906540	60.000000
266.058018	20.906540	62.000000
264.865310	20.906540	64.000000
263.970383	20.906540	66.000000
262.776616	20.906540	68.000000
261.880891	20.906540	70.000000
260.686056	20.906540	72.000000
259.640087	20.906540	74.000000
258.593617	20.906540	76.000000
257.696279	20.906540	78.000000
256.499288	20.906540	80.000000
255.601137	21.058235	82.000000
254.702638	21.209930	84.000000
253.504097	21.058235	86.000000
252.754707	21.209930	88.000000
251.705119	21.058235	90.000000
250.505025	20.906540	92.000000
249.604547	20.906540	94.000000
248.403367	20.906540	96.000000
247.351842	20.906540	98.000000
246.450147	20.906540	100.000000
245.397716	20.906540	102.000000
244.796125	20.906540	104.000000
243.592483	20.906540	106.000000
242.839911	20.906540	108.000000
241.936495	20.906540	110.000000
240.882065	20.906540	112.000000
239.827203	20.906540	114.000000
239.073425	20.754805	116.000000
238.017779	20.603071	118.000000
237.414342	20.603071	120.000000
236.357959	20.603071	122.000000
235.452145	20.754805	124.000000
234.546004	20.906540	126.000000
233.790653	20.906540	128.000000
232.883921	20.906540	130.000000
231.976871	20.906540	132.000000
231.220743	20.906540	134.000000
230.313117	20.906540	136.000000
229.405182	20.906540	138.000000
228.648348	20.906540	140.000000
227.739855	21.058235	142.000000
227.134026	20.906540	144.000000
226.225035	20.906540	146.000000
225.618877	21.058235	148.000000
224.557780	21.209930	150.000000
223.951271	21.209930	152.000000
223.041271	21.209930	154.000000
222.282737	21.209930	156.000000
221.372229	21.058235	158.000000
220.765074	21.209930	160.000000
219.854118	21.058235	162.000000
219.094777	21.209930	164.000000
218.335278	21.209930	166.000000
217.727544	21.058235	168.000000
216.967722	21.209930	170.000000
227.739821	21.209930	172.000000
228.496958	21.209930	174.000000
228.496958	21.209930	176.000000
228.496958	21.209930	178.000000
228.496958	21.209930	180.000000
228.496958	21.209930	182.000000
228.496958	21.209930	184.000000
228.345551	21.209930	186.000000
228.345551	21.209930	188.000000
228.345551	21.209930	190.000000
228.194143	21.209930	192.000000
228.194143	21.209930	194.000000
228.194143	21.209930	196.000000
228.194143	21.209930	198.000000
228.194143	21.209930	200.000000
228.194143	21.209930	202.000000
227.891295	21.209930	204.000000
227.891295	21.209930	206.000000
227.891295	21.209930	208.000000
227.891295	21.209930	210.000000
227.891295	21.209930	212.000000
227.891295	21.209930	214.000000
227.891295	21.209930	216.000000
227.891295	21.209930	218.000000
227.891295	21.209930	220.000000
227.891295	21.209930	222.000000
227.891295	21.209930	224.000000
227.891295	21.209930	226.000000
227.891295	21.209930	228.000000
227.891295	21.209930	230.000000
227.739855	21.209930	232.000000
227.739855	21.209930	234.000000
227.739855	21.209930	236.000000
227.891295	21.209930	238.000000
227.891295	21.209930	240.000000
227.739855	21.209930	242.000000
227.739855	21.209930	244.000000
227.588414	21.209930	246.000000
227.588414	21.209930	248.000000
227.739855	21.361585	250.000000
227.739855	21.209930	252.000000
227.739855	21.361585	254.000000
227.588414	21.209930	256.000000
227.588414	21.361585	258.000000
227.588414	21.209930	260.000000
227.588414	21.361585	262.000000
