*
Temp0 deg C	Temp1 deg C	Time (sec)
289.642399	21.968121	2.000000
295.988330	21.968121	4.000000
295.693576	21.816546	6.000000
294.219384	21.968121	8.000000
292.596925	21.968121	10.000000
290.825976	21.816546	12.000000
289.053947	21.968121	14.000000
287.576412	21.968121	16.000000
285.950241	21.968121	18.000000
284.323068	22.119696	20.000000
282.842986	22.119696	22.000000
281.362081	22.119696	24.000000
279.880340	21.968121	26.000000
278.397750	22.119696	28.000000
276.914301	22.119696	30.000000
275.578473	21.816546	32.000000
274.093359	22.119696	34.000000
272.904626	21.968121	36.000000
271.566590	21.816546	38.000000
270.227864	21.816546	40.000000
269.037242	22.119696	42.000000
267.697062	22.119696	44.000000
266.356175	22.119696	46.000000
265.163618	22.119696	48.000000
263.970458	22.119696	50.000000
262.776691	22.119696	52.000000
261.582314	22.119696	54.000000
260.387326	22.119696	56.000000
259.042206	22.119696	58.000000
257.845910	22.119696	60.000000
256.798668	22.119696	62.000000
255.601212	22.119696	64.000000
254.403136	21.968121	66.000000
253.204439	22.119696	68.000000
252.005121	21.968121	70.000000
251.105224	21.816546	72.000000
249.904820	21.816546	74.000000
248.853972	21.816546	76.000000
247.802620	21.816546	78.000000
246.600514	21.816546	80.000000
245.548180	21.816546	82.000000
244.495347	21.816546	84.000000
243.442074	21.816546	86.000000
242.388307	21.816546	88.000000
241.484720	21.816546	90.000000
240.279410	21.816546	92.000000
239.375034	21.816546	94.000000
238.319518	21.968121	96.000000
237.263521	21.816546	98.000000
236.358035	21.816546	100.000000
235.150209	21.968121	102.000000
234.243960	21.816546	104.000000
233.337389	21.968121	106.000000
232.279332	21.816546	108.000000
231.372072	21.816546	110.000000
230.313193	21.816546	112.000000
229.405258	21.816546	114.000000
228.497017	21.816546	116.000000
227.588473	21.816546	118.000000
226.528140	21.816546	120.000000
225.770492	21.816546	122.000000
224.861063	21.816546	124.000000
223.951346	21.816546	126.000000
223.041347	21.816546	128.000000
222.131069	21.816546	130.000000
221.220516	21.816546	132.000000
220.309694	21.816546	134.000000
219.398607	21.816546	136.000000
218.639179	21.816546	138.000000
217.727619	21.816546	140.000000
216.967784	21.816546	142.000000
216.207798	21.816546	144.000000
215.295581	21.816546	146.000000
214.535210	21.816546	148.000000
213.774698	21.816546	150.000000
213.166167	21.816546	152.000000
212.405354	21.816546	154.000000
211.644409	21.816546	156.000000
211.339985	21.816546	158.000000
210.883309	21.816546	160.000000
210.578827	21.816546	162.000000
210.122059	21.816546	164.000000
209.969796	21.816546	166.000000
209.665246	21.816546	168.000000
209.360674	21.816546	170.000000
209.208378	21.664931	172.000000
208.903773	21.816546	174.000000
208.599147	21.816546	176.000000
208.446829	21.664931	178.000000
207.989831	21.513316	180.000000
207.685142	21.816546	182.000000
207.380432	21.513316	184.000000
207.075701	21.513316	186.000000
206.770951	21.513316	188.000000
206.466181	21.513316	190.000000
206.161391	21.513316	192.000000
205.856581	21.513316	194.000000
205.551753	21.513316	196.000000
205.246906	21.513316	198.000000
204.942040	21.513316	200.000000
204.637156	21.513316	202.000000
204.332253	21.513316	204.000000
204.027333	21.513316	206.000000
203.722396	21.513316	208.000000
203.417441	21.513316	210.000000
203.112469	21.513316	212.000000
202.654982	21.513316	214.000000
202.197454	21.513316	216.000000
201.892416	21.513316	218.000000
201.587363	21.513316	220.000000
200.977211	21.513316	222.000000
200.824666	21.513316	224.000000
200.367000	21.513316	226.000000
200.061872	21.513316	228.000000
199.756731	21.513316	230.000000
199.298995	21.513316	232.000000
198.841225	21.513316	234.000000
198.536030	21.513316	236.000000
198.230823	21.513316	238.000000
197.772991	21.513316	240.000000
197.315128	21.513316	242.000000
197.009873	21.513316	244.000000
196.704607	21.513316	246.000000
196.246689	21.513316	248.000000
195.788745	21.513316	250.000000
195.483437	21.513316	252.000000
195.178119	21.513316	254.000000
194.872793	21.513316	256.000000
194.414786	21.361661	258.000000
193.956758	21.513316	260.000000
193.651397	21.361661	262.000000
193.193341	21.513316	264.000000
192.735266	21.513316	266.000000
192.429875	21.513316	268.000000
192.124477	21.361661	270.000000
191.819072	21.361661	272.000000
191.513662	21.210005	274.000000
191.055536	21.210005	276.000000
190.750112	21.210005	278.000000
190.291966	21.210005	280.000000
189.986530	21.210005	282.000000
189.681090	21.210005	284.000000
189.222923	21.210005	286.000000
188.917473	21.210005	288.000000
188.612021	21.210005	290.000000
188.306566	21.210005	292.000000
187.848378	21.210005	294.000000
187.542918	21.361661	296.000000
187.237456	21.361661	298.000000
186.931992	21.361661	300.000000
186.626528	21.210005	302.000000
186.321062	21.210005	304.000000
185.862864	21.210005	306.000000
185.710131	21.210005	308.000000
185.404666	21.210005	310.000000
185.099201	21.210005	312.000000
184.641006	21.210005	314.000000
184.488275	21.210005	316.000000
184.182814	21.210005	318.000000
183.724626	21.210005	320.000000
183.571899	21.210005	322.000000
183.266445	21.210005	324.000000
183.113718	21.210005	326.000000
182.808269	21.210005	328.000000
182.502823	21.210005	330.000000
182.197380	21.210005	332.000000
181.891942	21.210005	334.000000
181.586508	21.210005	336.000000
181.433793	21.210005	338.000000
181.281079	21.210005	340.000000
180.975655	21.210005	342.000000
180.670236	21.210005	344.000000
180.517530	21.210005	346.000000
180.212120	21.210005	348.000000
180.059416	21.210005	350.000000
179.754016	21.210005	352.000000
179.601319	21.210005	354.000000
179.295929	21.210005	356.000000
179.143236	21.210005	358.000000
178.837856	21.210005	360.000000
178.685171	21.210005	362.000000
178.532485	21.210005	364.000000
178.227122	21.210005	366.000000
178.074444	21.210005	368.000000
177.921767	21.210005	370.000000
177.616421	21.210005	372.000000
177.311084	21.210005	374.000000
177.311084	21.210005	376.000000
177.158420	21.210005	378.000000
176.853097	21.210005	380.000000
176.700438	21.210005	382.000000
176.395130	21.210005	384.000000
176.242482	21.210005	386.000000
175.937190	21.210005	388.000000
175.784547	21.210005	390.000000
175.631909	21.210005	392.000000
175.326639	21.210005	394.000000
175.174007	21.210005	396.000000
174.868755	21.210005	398.000000
174.563515	21.210005	400.000000
174.410901	21.210005	402.000000
174.258288	21.210005	404.000000
174.105680	21.210005	406.000000
173.953073	21.210005	408.000000
173.647871	21.210005	410.000000
173.342683	21.210005	412.000000
173.190096	21.210005	414.000000
173.037509	21.210005	416.000000
172.732349	21.210005	418.000000
