*
Temp0 deg C	Temp1 deg C	Time (sec)
182.242070	21.828624	2.000000
284.461340	21.828624	4.000000
306.592928	21.980218	6.000000
308.208958	21.980218	8.000000
306.005746	21.980218	10.000000
304.683175	21.980218	12.000000
303.213051	21.980218	14.000000
302.771902	21.980218	16.000000
301.300932	21.980218	18.000000
299.829340	21.980218	20.000000
298.062554	21.980218	22.000000
296.589485	21.980218	24.000000
294.968325	21.980218	26.000000
293.346269	21.980218	28.000000
291.870927	21.980218	30.000000
290.394845	21.980218	32.000000
288.770301	21.980218	34.000000
287.440402	21.980218	36.000000
285.962014	21.980218	38.000000
284.482830	21.980218	40.000000
283.150893	21.980218	42.000000
281.670160	21.980218	44.000000
280.336768	21.980218	46.000000
279.002733	21.980218	48.000000
277.667963	21.980218	50.000000
276.332535	21.980218	52.000000
275.144873	21.980218	54.000000
273.808055	21.980218	56.000000
272.470557	21.980218	58.000000
271.281037	21.980218	60.000000
269.793316	21.980218	62.000000
268.602479	21.980218	64.000000
267.411049	21.980218	66.000000
266.219023	21.828624	68.000000
265.026397	21.677031	70.000000
263.833167	21.828624	72.000000
262.639330	21.980218	74.000000
261.444883	21.980218	76.000000
260.249825	21.980218	78.000000
259.353127	21.980218	80.000000
258.156992	21.980218	82.000000
256.960239	21.980218	84.000000
255.762866	21.980218	86.000000
254.714633	21.980218	88.000000
253.665972	21.828624	90.000000
252.466893	21.677031	92.000000
251.267193	21.677031	94.000000
250.066872	21.677031	96.000000
249.166224	21.677031	98.000000
247.964819	21.677031	100.000000
247.063359	21.677031	102.000000
246.011232	21.677031	104.000000
244.958606	21.677031	106.000000
243.755047	21.677031	108.000000
242.851977	21.677031	110.000000
241.948565	21.677031	112.000000
240.743487	21.828624	114.000000
239.839283	21.677031	116.000000
238.783968	21.828624	118.000000
237.728170	21.828624	120.000000
236.822853	21.980218	122.000000
235.766247	21.980218	124.000000
234.860219	21.828624	126.000000
233.802764	21.980218	128.000000
232.896036	21.980218	130.000000
231.988991	21.828624	132.000000
231.081630	21.980218	134.000000
230.022661	21.980218	136.000000
229.114627	21.980218	138.000000
228.206289	21.828624	140.000000
227.297649	21.677031	142.000000
226.388711	21.828624	144.000000
225.479479	21.677031	146.000000
224.569958	21.677031	148.000000
223.811792	21.677031	150.000000
222.901750	21.677031	152.000000
221.991429	21.677031	154.000000
221.080835	21.677031	156.000000
220.169972	21.980218	158.000000
219.258844	21.677031	160.000000
218.499384	21.980218	162.000000
217.587785	21.677031	164.000000
216.827918	21.980218	166.000000
215.915866	21.677031	168.000000
215.003573	21.677031	170.000000
214.243159	21.828624	172.000000
213.330441	21.828624	174.000000
212.721837	21.980218	176.000000
211.808748	21.828624	178.000000
210.895446	21.980218	180.000000
210.134193	21.828624	182.000000
209.372816	21.980218	184.000000
208.458972	21.980218	186.000000
207.849637	21.828624	188.000000
