*
Temp0 deg C	Temp1 deg C	Time (sec)
285.109386	21.411568	2.000000
292.055254	21.411568	4.000000
292.940550	21.411568	6.000000
292.350407	21.411568	8.000000
291.464992	21.411568	10.000000
289.988704	21.411568	12.000000
288.807128	21.411568	14.000000
287.181635	21.411568	16.000000
285.703109	21.411568	18.000000
284.223784	21.411568	20.000000
282.595609	21.411568	22.000000
281.114565	21.411568	24.000000
279.780889	21.411568	26.000000
278.298242	21.411568	28.000000
276.814734	21.411568	30.000000
275.478854	21.411568	32.000000
274.290786	21.411568	34.000000
272.953505	21.411568	36.000000
271.615541	21.411568	38.000000
270.425603	21.411568	40.000000
269.086198	21.411568	42.000000
267.746093	21.411568	44.000000
266.554234	21.411568	46.000000
265.063569	21.411568	48.000000
264.019518	21.411568	50.000000
262.676540	21.411568	52.000000
261.482112	21.411568	54.000000
260.287073	21.411568	56.000000
259.091419	21.411568	58.000000
257.895148	21.411568	60.000000
256.698259	21.411568	62.000000
255.500751	21.411568	64.000000
254.452438	21.411568	66.000000
253.403619	21.411568	68.000000
252.204404	21.411568	70.000000
251.304586	21.411568	72.000000
250.104284	21.411568	74.000000
249.053526	21.411568	76.000000
248.002265	21.411568	78.000000
247.100819	21.411568	80.000000
245.898353	21.411568	82.000000
244.845705	21.411568	84.000000
243.792559	21.411568	86.000000
242.889504	21.411568	88.000000
241.835521	21.411568	90.000000
240.781047	21.411568	92.000000
239.726140	21.411568	94.000000
238.821558	21.411568	96.000000
237.765777	21.411568	98.000000
236.860474	21.411568	100.000000
235.954841	21.411568	102.000000
234.897869	21.411568	104.000000
233.991530	21.411568	106.000000
233.084869	21.411568	108.000000
232.177890	21.411568	110.000000
231.119335	21.411568	112.000000
230.211675	21.411568	114.000000
229.152360	21.411568	116.000000
228.244034	21.411568	118.000000
227.335407	21.411568	120.000000
226.426481	21.411568	122.000000
225.517261	21.411568	124.000000
224.607752	21.411568	126.000000
223.697956	21.411568	128.000000
222.787878	21.411568	130.000000
221.877522	21.411568	132.000000
220.966894	21.411568	134.000000
220.207821	21.411568	136.000000
219.296705	21.411568	138.000000
218.385329	21.411568	140.000000
217.473699	21.411568	142.000000
216.561819	21.411568	144.000000
215.801743	21.411568	146.000000
215.041481	21.411568	148.000000
214.128963	21.411568	150.000000
213.216217	21.411568	152.000000
212.455433	21.411568	154.000000
211.694479	21.411568	156.000000
210.933395	21.411568	158.000000
210.172149	21.411568	160.000000
209.258479	21.411568	162.000000
208.496944	21.411568	164.000000
207.582918	21.411568	166.000000
206.821080	21.411568	168.000000
206.059133	21.411568	170.000000
205.449483	21.411568	172.000000
204.687308	21.411568	174.000000
203.925033	21.411568	176.000000
203.315129	21.411568	178.000000
202.552647	21.411568	180.000000
201.790077	21.411568	182.000000
201.027397	21.411568	184.000000
200.264635	21.411568	186.000000
199.654357	21.411568	188.000000
198.738838	21.411568	190.000000
198.128427	21.411568	192.000000
197.517968	21.411568	194.000000
196.754824	21.411568	196.000000
195.991620	21.411568	198.000000
195.381008	21.411568	200.000000
194.465018	21.411568	202.000000
193.854314	21.411568	204.000000
193.243578	21.411568	206.000000
192.632812	21.411568	208.000000
192.022018	21.259900	210.000000
191.716612	21.259900	212.000000
191.563907	21.108231	214.000000
191.258492	21.411568	216.000000
191.105781	21.259900	218.000000
190.953071	21.108231	220.000000
190.800358	21.259900	222.000000
190.647645	21.259900	224.000000
190.494930	21.108231	226.000000
190.494930	21.259900	228.000000
190.342214	21.108231	230.000000
190.189497	21.108231	232.000000
190.036779	21.108231	234.000000
189.731339	21.108231	236.000000
189.731339	21.108231	238.000000
189.578618	21.108231	240.000000
189.273172	21.108231	242.000000
189.120449	21.108231	244.000000
188.967724	21.108231	246.000000
188.814999	21.108231	248.000000
188.814999	21.108231	250.000000
188.509545	21.108231	252.000000
188.356817	21.108231	254.000000
188.204089	21.108231	256.000000
188.051360	21.108231	258.000000
187.898631	21.108231	260.000000
187.745901	21.108231	262.000000
187.593171	21.108231	264.000000
187.440439	21.108231	266.000000
187.287708	21.108231	268.000000
187.134977	21.108231	270.000000
186.982245	21.108231	272.000000
186.982245	21.108231	274.000000
186.676781	21.108231	276.000000
186.524048	21.108231	278.000000
186.371315	21.108231	280.000000
186.218583	21.108231	282.000000
185.913117	21.108231	284.000000
185.760384	21.108231	286.000000
185.607652	21.108231	288.000000
185.454919	21.108231	290.000000
185.302186	21.108231	292.000000
184.996722	21.108231	294.000000
184.843990	21.108231	296.000000
184.843990	21.108231	298.000000
184.538527	21.108231	300.000000
184.385797	21.108231	302.000000
184.233066	21.108231	304.000000
184.233066	21.108231	306.000000
183.927607	21.108231	308.000000
183.622150	20.956523	310.000000
183.622150	20.804814	312.000000
183.469423	21.108231	314.000000
183.316695	20.956523	316.000000
183.011244	20.956523	318.000000
182.858519	20.804814	320.000000
182.705795	20.956523	322.000000
182.705795	20.956523	324.000000
182.400350	20.956523	326.000000
182.247630	20.804814	328.000000
182.094909	20.804814	330.000000
181.789472	20.804814	332.000000
181.789472	20.804814	334.000000
181.484040	20.804814	336.000000
181.178613	20.804814	338.000000
181.025901	21.108231	340.000000
180.720482	20.956523	342.000000
180.720482	20.804814	344.000000
180.415068	20.956523	346.000000
180.109660	20.956523	348.000000
179.956958	20.956523	350.000000
179.804259	21.108231	352.000000
179.651560	21.108231	354.000000
179.498864	21.108231	356.000000
179.346168	21.108231	358.000000
179.193476	21.108231	360.000000
179.040784	21.108231	362.000000
178.888096	21.108231	364.000000
178.582723	21.108231	366.000000
178.430039	21.108231	368.000000
178.124678	21.108231	370.000000
177.972002	21.108231	372.000000
177.819326	21.108231	374.000000
177.666655	21.108231	376.000000
177.361316	21.108231	378.000000
177.208649	21.108231	380.000000
176.903325	21.108231	382.000000
176.598010	21.108231	384.000000
176.292706	21.108231	386.000000
176.140059	21.108231	388.000000
175.987412	21.108231	390.000000
175.682129	21.108231	392.000000
175.529494	21.108231	394.000000
175.224228	21.108231	396.000000
175.071598	21.108231	398.000000
174.766350	21.108231	400.000000
174.613732	21.108231	402.000000
174.461114	21.108231	404.000000
174.308502	21.108231	406.000000
174.003285	20.956523	408.000000
173.850680	21.108231	410.000000
173.545483	21.108231	412.000000
173.392891	20.956523	414.000000
173.087715	21.108231	416.000000
172.782552	21.108231	418.000000
172.629975	21.108231	420.000000
172.324834	21.108231	422.000000
172.019708	21.108231	424.000000
171.714598	21.108231	426.000000
171.714598	21.108231	428.000000
171.409503	20.956523	430.000000
171.256963	21.108231	432.000000
170.951893	21.108231	434.000000
170.646838	20.956523	436.000000
170.494315	21.108231	438.000000
170.189286	21.108231	440.000000
170.036780	20.956523	442.000000
169.579281	20.956523	444.000000
169.426792	20.956523	446.000000
169.274304	21.108231	448.000000
168.969347	20.956523	450.000000
168.816877	21.108231	452.000000
168.511947	20.956523	454.000000
168.359487	20.956523	456.000000
168.054586	20.956523	458.000000
167.749705	20.804814	460.000000
167.597274	20.956523	462.000000
167.444844	20.956523	464.000000
167.140003	20.956523	466.000000
166.987592	20.804814	468.000000
166.835182	20.956523	470.000000
166.682782	20.804814	472.000000
166.377994	20.956523	474.000000
166.225605	20.956523	476.000000
165.768481	20.956523	478.000000
165.616114	20.804814	480.000000
165.463758	20.804814	482.000000
165.006712	20.956523	484.000000
164.854378	20.956523	486.000000
164.549723	20.956523	488.000000
164.397402	21.108231	490.000000
164.092782	20.956523	492.000000
163.788186	21.108231	494.000000
163.635900	21.108231	496.000000
163.483614	20.956523	498.000000
163.179067	20.804814	500.000000
163.026806	20.956523	502.000000
162.722297	20.956523	504.000000
162.417812	20.956523	506.000000
162.265577	20.956523	508.000000
161.961131	20.956523	510.000000
161.656712	20.804814	512.000000
161.504515	21.108231	514.000000
161.200136	20.956523	516.000000
161.047953	21.108231	518.000000
160.743614	21.108231	520.000000
160.439302	20.956523	522.000000
160.287161	21.108231	524.000000
159.982891	21.108231	526.000000
159.678650	21.108231	528.000000
159.526536	21.108231	530.000000
159.374437	21.108231	532.000000
159.222337	21.108231	534.000000
158.918168	21.108231	536.000000
158.766098	21.108231	538.000000
158.309917	21.108231	540.000000
158.005837	21.108231	542.000000
157.853812	21.108231	544.000000
157.701787	21.108231	546.000000
157.549777	21.108231	548.000000
157.245773	21.108231	550.000000
156.941799	21.108231	552.000000
156.789821	21.108231	554.000000
156.637857	21.108231	556.000000
156.333947	21.108231	558.000000
156.182000	21.108231	560.000000
155.878138	21.108231	562.000000
155.726223	21.108231	564.000000
155.422409	21.108231	566.000000
155.118629	21.108231	568.000000
154.966746	21.108231	570.000000
154.663015	21.108231	572.000000
154.511167	21.108231	574.000000
154.207486	21.108231	576.000000
153.752025	21.108231	578.000000
153.600228	21.108231	580.000000
153.448430	21.108231	582.000000
153.144870	21.108231	584.000000
153.144870	20.956523	586.000000
152.689600	21.108231	588.000000
152.537855	21.108231	590.000000
152.234401	21.108231	592.000000
151.930982	21.108231	594.000000
151.779291	21.108231	596.000000
151.475927	21.108231	598.000000
151.324254	21.108231	600.000000
151.020945	21.108231	602.000000
150.869308	21.108231	604.000000
150.566055	21.108231	606.000000
150.262839	21.108231	608.000000
149.959660	21.108231	610.000000
149.808080	21.108231	612.000000
149.504959	21.108231	614.000000
149.201875	21.108231	616.000000
149.050353	21.108231	618.000000
148.898831	21.108231	620.000000
148.595825	21.108231	622.000000
148.292858	21.108231	624.000000
148.141394	21.108231	626.000000
147.838487	21.108231	628.000000
147.535619	21.108231	630.000000
147.384195	21.108231	632.000000
147.081387	21.108231	634.000000
146.930003	21.108231	636.000000
146.627256	21.108231	638.000000
146.324550	21.108231	640.000000
146.173207	21.108231	642.000000
145.870562	21.108231	644.000000
145.719261	21.108231	646.000000
145.416678	21.108231	648.000000
145.114137	21.108231	650.000000
144.962878	21.108231	652.000000
144.660400	21.108231	654.000000
144.509182	21.108231	656.000000
144.206768	21.108231	658.000000
144.055571	21.108231	660.000000
143.753221	21.108231	662.000000
143.450914	21.108231	664.000000
143.299782	21.108231	666.000000
