*
Temp0 deg C	Temp1 deg C	Time (sec)
305.915446	21.736325	2.000000
306.797550	21.736325	4.000000
298.855888	21.584719	6.000000
294.436107	21.584719	8.000000
289.861757	21.584719	10.000000
286.463447	21.584719	12.000000
285.428312	21.584719	14.000000
294.435477	21.584719	16.000000
298.120191	21.584719	18.000000
296.941758	21.584719	20.000000
294.731125	21.584719	22.000000
292.813945	21.584719	24.000000
291.190717	21.281427	26.000000
289.714289	21.281427	28.000000
288.089357	21.281427	30.000000
286.463447	21.281427	32.000000
285.132482	21.281427	34.000000
283.652846	21.281427	36.000000
282.172393	21.281427	38.000000
280.691111	21.281427	40.000000
279.505480	21.281427	42.000000
278.022675	21.281427	44.000000
276.687390	21.281427	46.000000
275.351442	21.281427	48.000000
274.163313	21.281427	50.000000
272.825964	21.281427	52.000000
271.487930	21.281427	54.000000
270.297929	21.281427	56.000000
269.107341	21.281427	58.000000
267.916163	21.281427	60.000000
266.724390	21.281427	62.000000
265.382906	21.281427	64.000000
264.040707	21.281427	66.000000
262.846976	21.281427	68.000000
261.652636	21.281427	70.000000
260.607100	21.281427	72.000000
259.561066	21.281427	74.000000
258.365038	21.281427	76.000000
257.168392	21.281427	78.000000
255.971128	21.281427	80.000000
254.773243	21.281427	82.000000
253.724600	21.281427	84.000000
252.675451	21.433073	86.000000
251.475859	21.281427	88.000000
250.575758	21.281427	90.000000
249.375079	21.584719	92.000000
248.173782	21.584719	94.000000
246.971866	21.433073	96.000000
246.070024	21.281427	98.000000
245.017453	21.281427	100.000000
244.114863	21.281427	102.000000
243.061393	21.281427	104.000000
242.007486	21.281427	106.000000
241.103756	21.281427	108.000000
240.048962	21.433073	110.000000
239.144500	21.281427	112.000000
238.088885	21.281427	114.000000
237.032790	21.584719	116.000000
236.127219	21.281427	118.000000
235.221321	21.433073	120.000000
234.164043	21.433073	122.000000
233.257443	21.281427	124.000000
232.199327	21.281427	126.000000
231.292039	21.281427	128.000000
230.233153	21.584719	130.000000
229.325191	21.433073	132.000000
228.265503	21.281427	134.000000
227.356883	21.433073	136.000000
226.447965	21.433073	138.000000
225.690320	21.584719	140.000000
224.780865	21.584719	142.000000
223.719460	21.584719	144.000000
222.961098	21.584719	146.000000
222.050796	21.584719	148.000000
221.140219	21.584719	150.000000
220.381188	21.584719	152.000000
219.470122	21.584719	154.000000
218.558795	21.584719	156.000000
217.647213	21.584719	158.000000
216.887380	21.584719	160.000000
215.975343	21.584719	162.000000
215.215118	21.584719	164.000000
214.454749	21.584719	166.000000
213.542084	21.584719	168.000000
212.629193	21.584719	170.000000
211.868273	21.584719	172.000000
210.954985	21.584719	174.000000
210.193760	21.584719	176.000000
209.432377	21.584719	178.000000
208.518547	21.584719	180.000000
207.756883	21.584719	182.000000
207.147452	21.584719	184.000000
206.233155	21.584719	186.000000
