System ID,,"4483J11304"
Method name only,,"Tension_Flat_Weld_NEW"
Test type,,"Tension"
Sample file name,,"N02-A-6061-Low"
Last test date,,"Monday, November 4, 2024"
Last test time,,"5:05:53 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"A"
Material,,"6061 Aluminum"
Weld Type,,"Low Power Butt"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width of Specimen and Weld w,(mm),"17.28"
Specimen Thickness t,(mm),"9.41"
Weld Thickness tw,(mm),"16.08"
Specimen Gage Length,(mm),"60.25"
Fracture Type and Location,,"thickness of unwelded gap: 8.24 mm"
Unwelded Gap Thickness tg (mm),,"0.00"
Notes During Test,,"Terrible weld. Did fracture completely before test was stopped. Barely any weld material, very large unwelded gap thickness."

Results Table 1
,,"1"
Maximum Force,(kN),"2.633"

Time,Displacement,Force
(s),(mm),(kN)
"0.00","0.00","0.1226"
"0.50","0.03","0.1610"
"1.00","0.06","0.1902"
"1.50","0.09","0.2309"
"2.00","0.13","0.2813"
"2.50","0.16","0.3361"
"3.00","0.19","0.3901"
"3.50","0.23","0.4374"
"4.00","0.26","0.4877"
"4.50","0.29","0.5448"
"5.00","0.33","0.6066"
"5.50","0.36","0.6741"
"6.00","0.39","0.7465"
"6.50","0.43","0.8270"
"7.00","0.46","0.9159"
"7.50","0.49","1.010"
"8.00","0.53","1.112"
"8.50","0.56","1.223"
"9.00","0.59","1.341"
"9.50","0.63","1.465"
"10.00","0.66","1.594"
"10.50","0.69","1.727"
"11.00","0.73","1.867"
"11.50","0.76","2.007"
"12.00","0.79","2.149"
"12.50","0.83","2.293"
"13.00","0.86","2.436"
"13.50","0.89","2.563"
"14.00","0.93","1.961"
"14.50","0.96","2.245"
"15.00","0.99","2.452"
"15.50","1.03","2.584"
"16.00","1.06","2.633"
"16.50","1.09","2.613"
"17.00","1.13","2.544"
"17.50","1.16","1.625"
"18.00","1.19","1.332"
"18.50","1.23","1.214"
"19.00","1.26","1.137"
"19.50","1.29","1.031"
"20.00","1.33","0.9017"
"20.50","1.36","0.8429"
"21.00","1.39","0.7993"
"21.50","1.43","0.7546"
"22.00","1.46","0.7105"
"22.50","1.49","0.6427"
"23.00","1.53","0.6001"
"23.50","1.56","0.4858"
"24.00","1.59","0.3634"
"24.50","1.63","0.3290"
"25.00","1.66","0.3137"
"25.50","1.69","0.3024"
"26.00","1.73","0.2901"
"26.50","1.76","0.2750"
"27.00","1.79","0.2641"
"27.50","1.83","0.2546"
"28.00","1.86","0.2492"
"28.50","1.89","0.2457"
"29.00","1.93","0.2415"
"29.50","1.96","0.2373"
"30.00","1.99","0.2315"
"30.50","2.03","0.2246"
"31.00","2.06","0.2185"
"31.50","2.09","0.2158"
"32.00","2.13","0.2140"
"32.50","2.16","0.2121"
"33.00","2.19","0.2087"
"33.50","2.23","0.2033"
"34.00","2.26","0.1992"
"34.50","2.29","0.1958"
"35.00","2.33","0.1905"
"35.50","2.36","0.1818"
"36.00","2.39","0.1790"
"36.50","2.43","0.1753"
"37.00","2.46","0.1714"
"37.50","2.49","0.1681"
"38.00","2.53","0.1640"
"38.50","2.56","0.1626"
"39.00","2.59","0.1602"
"39.50","2.63","0.1584"
"40.00","2.66","0.1561"
"40.42","2.69","0.1545"

