System ID,,"4483C11302J"
Method name only,,"Tension_Flat_Weld_NEW"
Test type,,"Tension"
Sample file name,,"N02B1018Butt"
Last test date,,"Monday, November 4, 2024"
Last test time,,"4:44:27 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"B"
Material,,"1018"
Weld Type,,"Butt"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width of Specimen and Weld w,(mm),"16.25"
Specimen Thickness t,(mm),"9.42"
Weld Thickness tw,(mm),"13.55"
Specimen Gage Length,(mm),"63.60"
Fracture Type and Location,,""
Unwelded Gap Thickness tg (mm),,"2.93"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"80.53"

Time,Displacement,Force
(s),(mm),(kN)
"0.00","0.00","0.04467"
"0.50","0.03","0.4166"
"1.00","0.06","0.7375"
"1.50","0.10","1.027"
"2.00","0.13","1.282"
"2.50","0.16","1.510"
"3.00","0.20","1.731"
"3.50","0.23","1.957"
"4.00","0.26","2.188"
"4.50","0.30","2.431"
"5.00","0.33","2.677"
"5.50","0.36","2.927"
"6.00","0.40","3.185"
"6.50","0.43","3.448"
"7.00","0.46","3.714"
"7.50","0.50","3.989"
"8.00","0.53","4.266"
"8.50","0.56","4.547"
"9.00","0.60","4.836"
"9.50","0.63","5.124"
"10.00","0.66","5.415"
"10.50","0.70","5.716"
"11.00","0.73","6.018"
"11.50","0.76","6.322"
"12.00","0.80","6.636"
"12.50","0.83","6.943"
"13.00","0.86","7.265"
"13.50","0.90","7.584"
"14.00","0.93","7.905"
"14.50","0.96","8.233"
"15.00","1.00","8.564"
"15.50","1.03","8.895"
"16.00","1.06","9.231"
"16.50","1.10","9.572"
"17.00","1.13","9.910"
"17.50","1.16","10.26"
"18.00","1.20","10.60"
"18.50","1.23","10.95"
"19.00","1.26","11.30"
"19.50","1.30","11.65"
"20.00","1.33","12.01"
"20.50","1.36","12.37"
"21.00","1.40","12.73"
"21.50","1.43","13.09"
"22.00","1.46","13.46"
"22.50","1.50","13.82"
"23.00","1.53","14.19"
"23.50","1.56","14.56"
"24.00","1.60","14.93"
"24.50","1.63","15.31"
"25.00","1.66","15.69"
"25.50","1.70","16.07"
"26.00","1.73","16.46"
"26.50","1.76","16.85"
"27.00","1.80","17.24"
"27.50","1.83","17.64"
"28.00","1.86","18.03"
"28.50","1.90","18.43"
"29.00","1.93","18.84"
"29.50","1.96","19.23"
"30.00","2.00","19.64"
"30.50","2.03","20.05"
"31.00","2.06","20.46"
"31.50","2.10","20.87"
"32.00","2.13","21.29"
"32.50","2.16","21.70"
"33.00","2.20","22.12"
"33.50","2.23","22.54"
"34.00","2.26","22.96"
"34.50","2.30","23.39"
"35.00","2.33","23.81"
"35.50","2.36","24.24"
"36.00","2.40","24.68"
"36.50","2.43","25.12"
"37.00","2.46","25.55"
"37.50","2.50","26.00"
"38.00","2.53","26.44"
"38.50","2.56","26.88"
"39.00","2.60","27.33"
"39.50","2.63","27.77"
"40.00","2.66","28.22"
"40.50","2.70","28.67"
"41.00","2.73","29.12"
"41.50","2.76","29.58"
"42.00","2.80","30.04"
"42.50","2.83","30.49"
"43.00","2.86","30.94"
"43.50","2.90","31.41"
"44.00","2.93","31.86"
"44.50","2.96","32.33"
"45.00","3.00","32.79"
"45.50","3.03","33.26"
"46.00","3.06","33.72"
"46.50","3.10","34.18"
"47.00","3.13","34.66"
"47.50","3.16","35.13"
"48.00","3.20","35.60"
"48.50","3.23","36.07"
"49.00","3.26","36.55"
"49.50","3.30","37.03"
"50.00","3.33","37.51"
