*
Temp0 deg C	Temp1 deg C	Time (sec)
309.844941	21.092425	2.000000
311.752763	21.395766	4.000000
310.872441	21.092425	6.000000
309.258002	21.244095	8.000000
307.789744	21.395766	10.000000
306.174000	21.395766	12.000000
304.557501	21.395766	14.000000
303.234385	21.395766	16.000000
301.616516	21.395766	18.000000
300.292255	21.395766	20.000000
298.820211	21.395766	22.000000
297.494779	21.395766	24.000000
296.021445	21.395766	26.000000
294.547410	21.395766	28.000000
293.220187	21.395766	30.000000
291.892337	21.547397	32.000000
290.563926	21.699028	34.000000
289.382587	21.699028	36.000000
287.905225	21.699028	38.000000
286.722775	21.547397	40.000000
285.391896	21.547397	42.000000
284.060407	21.547397	44.000000
282.876292	21.395766	46.000000
281.543511	21.395766	48.000000
280.358268	21.395766	50.000000
279.024244	21.395766	52.000000
277.837846	21.395766	54.000000
276.650894	21.395766	56.000000
275.463383	21.395766	58.000000
274.275307	21.395766	60.000000
272.938019	21.395766	62.000000
271.748762	21.395766	64.000000
270.707641	21.395766	66.000000
269.517256	21.395766	68.000000
268.326282	21.547397	70.000000
267.134714	21.547397	72.000000
265.942549	21.699028	74.000000
264.749783	21.699028	76.000000
263.705631	21.699028	78.000000
262.660986	21.699028	80.000000
261.615903	21.699028	82.000000
260.570323	21.699028	84.000000
259.374814	21.699028	86.000000
258.477779	21.699028	88.000000
257.281191	21.699028	90.000000
256.383345	21.699028	92.000000
255.185674	21.699028	94.000000
254.137217	21.699028	96.000000
253.088256	21.699028	98.000000
252.188780	21.699028	100.000000
251.138965	21.699028	102.000000
250.088646	21.699028	104.000000
249.188007	21.699028	106.000000
248.287019	21.699028	108.000000
247.085161	21.699028	110.000000
246.183363	21.699028	112.000000
245.130842	21.699028	114.000000
244.077824	21.699028	116.000000
243.174876	21.699028	118.000000
242.271586	21.699028	120.000000
241.367956	21.699028	122.000000
240.463986	21.699028	124.000000
239.559678	21.699028	126.000000
238.655035	21.699028	128.000000
237.599209	21.699028	130.000000
236.844748	21.699028	132.000000
235.788152	21.699028	134.000000
234.882132	21.699028	136.000000
233.975787	21.699028	138.000000
233.069121	21.699028	140.000000
232.162136	21.699028	142.000000
231.254835	21.699028	144.000000
230.498498	21.699028	146.000000
229.590626	21.699028	148.000000
228.833845	21.699028	150.000000
227.925413	21.850618	152.000000
227.016680	21.850618	154.000000
226.107651	22.002209	156.000000
225.349891	22.002209	158.000000
224.591954	22.002209	160.000000
223.682153	22.002209	162.000000
222.923758	22.002209	164.000000
222.013444	22.002209	166.000000
221.254651	22.002209	168.000000
220.495649	22.002209	170.000000
219.584615	22.002209	172.000000
218.825232	22.002209	174.000000
217.913724	22.002209	176.000000
217.001964	22.002209	178.000000
216.393986	22.002209	180.000000
215.481819	22.002209	182.000000
214.721487	22.002209	184.000000
213.961014	22.002209	186.000000
213.352514	22.305309	188.000000
212.439576	22.153759	190.000000
211.678620	22.153759	192.000000
210.917532	22.305309	194.000000
210.308551	22.002209	196.000000
209.547190	22.002209	198.000000
208.785706	22.002209	200.000000
207.871740	22.002209	202.000000
207.262324	22.002209	204.000000
206.500434	22.002209	206.000000
205.738436	22.002209	208.000000
205.128746	22.002209	210.000000
204.366523	22.002209	212.000000
203.604201	22.002209	214.000000
202.994261	22.002209	216.000000
202.231737	22.002209	218.000000
201.469124	22.002209	220.000000
200.858961	22.002209	222.000000
200.248738	22.153759	224.000000
199.638458	22.153759	226.000000
199.028124	22.002209	228.000000
198.112525	22.153759	230.000000
197.502065	22.002209	232.000000
196.738920	22.002209	234.000000
195.975714	22.002209	236.000000
195.365101	22.153759	238.000000
194.754449	22.002209	240.000000
194.143762	22.002209	242.000000
193.533040	22.002209	244.000000
192.922288	22.153759	246.000000
192.311507	22.002209	248.000000
191.395287	22.002209	250.000000
