*
Temp0 deg C	Temp1 deg C	Time (sec)
288.872679	21.490344	2.000000
303.178983	21.338686	4.000000
304.061216	21.490344	6.000000
302.884931	21.338686	8.000000
301.414036	21.490344	10.000000
299.795280	21.490344	12.000000
298.175770	21.490344	14.000000
296.555432	21.490344	16.000000
295.081653	21.490344	18.000000
293.459658	21.490344	20.000000
291.984372	21.490344	22.000000
290.508347	21.490344	24.000000
289.031569	21.490344	26.000000
287.406245	21.490344	28.000000
286.075695	21.338686	30.000000
284.596572	21.338686	32.000000
283.264692	21.187027	34.000000
281.784023	21.490344	36.000000
280.598889	21.490344	38.000000
279.116713	21.338686	40.000000
277.930357	21.338686	42.000000
276.743449	21.187027	44.000000
275.259027	21.490344	46.000000
274.070854	21.490344	48.000000
272.882110	21.338686	50.000000
271.692790	21.490344	52.000000
270.502889	21.490344	54.000000
269.312403	21.490344	56.000000
267.972377	21.490344	58.000000
266.929657	21.490344	60.000000
265.737389	21.490344	62.000000
264.544519	21.338686	64.000000
263.351044	21.490344	66.000000
262.156961	21.338686	68.000000
261.260999	21.187027	70.000000
260.065845	21.338686	72.000000
258.870077	21.338686	74.000000
257.972847	21.490344	76.000000
256.775998	21.490344	78.000000
255.728262	21.338686	80.000000
254.680023	21.338686	82.000000
253.631337	21.187027	84.000000
252.582146	21.338686	86.000000
251.532509	21.338686	88.000000
250.482368	21.187027	90.000000
249.581881	21.187027	92.000000
248.530887	21.338686	94.000000
247.479391	21.187027	96.000000
246.577744	21.187027	98.000000
245.525400	21.187027	100.000000
244.472557	21.187027	102.000000
243.569759	21.187027	104.000000
242.666619	21.187027	106.000000
241.612538	21.187027	108.000000
240.708660	21.187027	110.000000
239.653694	21.187027	112.000000
238.749085	21.187027	114.000000
237.844142	21.187027	116.000000
236.938868	21.187027	118.000000
236.033263	21.187027	120.000000
235.127331	21.187027	122.000000
234.221074	21.187027	124.000000
233.314495	21.187027	126.000000
232.407596	21.187027	128.000000
231.500380	21.187027	130.000000
230.592851	21.187027	132.000000
229.836352	21.187027	134.000000
228.928256	21.187027	136.000000
228.019855	21.187027	138.000000
227.262612	21.187027	140.000000
226.353663	21.187027	142.000000
225.595993	21.187027	144.000000
224.686508	21.338686	146.000000
223.776737	21.187027	148.000000
223.018367	21.187027	150.000000
222.259826	21.187027	152.000000
221.349312	21.187027	154.000000
220.590332	21.187027	156.000000
219.831190	21.187027	158.000000
218.919966	21.187027	160.000000
218.312339	21.187027	162.000000
217.400689	21.187027	164.000000
216.640779	21.187027	166.000000
215.880721	21.187027	168.000000
215.120476	21.187027	170.000000
214.360087	21.187027	172.000000
213.751653	21.187027	174.000000
212.990959	21.187027	176.000000
212.534483	21.187027	178.000000
211.925752	21.187027	180.000000
211.773557	21.187027	182.000000
211.773557	21.187027	184.000000
211.925752	21.187027	186.000000
212.534483	21.187027	188.000000
213.295251	21.187027	190.000000
214.055883	21.187027	192.000000
214.512183	21.187027	194.000000
