*
Temp0 deg C	Temp1 deg C	Time (sec)
148.582182	21.466846	2.000000
203.820367	21.466846	4.000000
231.017931	21.466846	6.000000
247.304483	21.466846	8.000000
255.255397	21.466846	10.000000
259.743648	21.466846	12.000000
262.432349	21.466846	14.000000
264.372230	21.618467	16.000000
265.565225	21.466846	18.000000
266.161478	21.618467	20.000000
266.608573	21.466846	22.000000
266.608573	21.618467	24.000000
266.459547	21.466846	26.000000
266.161478	21.466846	28.000000
265.863370	21.466846	30.000000
265.267043	21.466846	32.000000
264.670564	21.466846	34.000000
263.775563	21.466846	36.000000
263.178706	21.466846	38.000000
262.133826	21.466846	40.000000
261.237854	21.466846	42.000000
260.192133	21.466846	44.000000
259.295413	21.466846	46.000000
258.398347	21.466846	48.000000
257.351316	21.466846	50.000000
256.303841	21.466846	52.000000
255.255862	21.466846	54.000000
254.357229	21.466846	56.000000
253.158508	21.466846	58.000000
252.109133	21.466846	60.000000
251.209277	21.466846	62.000000
250.309072	21.466846	64.000000
249.258377	21.618467	66.000000
248.207237	21.466846	68.000000
247.155595	21.618467	70.000000
245.953157	21.770088	72.000000
245.050924	21.770088	74.000000
243.847412	21.770088	76.000000
242.944377	21.618467	78.000000
241.890418	21.770088	80.000000
240.835968	21.770088	82.000000
239.931799	21.618467	84.000000
238.725718	21.770088	86.000000
237.519042	21.466846	88.000000
236.613649	21.770088	90.000000
235.707926	21.770088	92.000000
234.650851	21.618467	94.000000
233.593308	21.770088	96.000000
232.686507	21.770088	98.000000
231.476946	21.618467	100.000000
230.266827	21.770088	102.000000
229.207534	21.618467	104.000000
228.450620	21.466846	106.000000
227.390617	21.466846	108.000000
226.481710	21.466846	110.000000
225.572508	21.466846	112.000000
224.663015	21.466846	114.000000
223.601568	21.466846	116.000000
222.691460	21.466846	118.000000
221.781076	21.466846	120.000000
220.870419	21.466846	122.000000
219.959495	21.466846	124.000000
219.048307	21.618467	126.000000
218.136862	21.466846	128.000000
217.225163	21.770088	130.000000
216.313217	21.618467	132.000000
215.401028	21.770088	134.000000
214.488602	21.770088	136.000000
213.575945	21.770088	138.000000
212.510903	21.770088	140.000000
211.902168	21.618467	142.000000
210.988887	21.466846	144.000000
210.075397	21.466846	146.000000
209.161705	21.466846	148.000000
208.247817	21.618467	150.000000
207.486091	21.466846	152.000000
206.724253	21.466846	154.000000
205.962276	21.466846	156.000000
205.200193	21.466846	158.000000
204.437981	21.466846	160.000000
203.370712	21.466846	162.000000
202.608238	21.466846	164.000000
201.845675	21.466846	166.000000
201.083002	21.466846	168.000000
200.167678	21.466846	170.000000
199.404816	21.466846	172.000000
198.794462	21.466846	174.000000
197.878834	21.466846	176.000000
197.115725	21.466846	178.000000
196.199905	21.466846	180.000000
195.436655	21.466846	182.000000
194.520670	21.466846	184.000000
193.604606	21.466846	186.000000
192.993858	21.466846	188.000000
192.077681	21.466846	190.000000
191.466864	21.466846	192.000000
190.856025	21.466846	194.000000
189.939728	21.466846	196.000000
189.176118	21.466846	198.000000
188.412489	21.466846	200.000000
187.801574	21.466846	202.000000
187.190650	21.466846	204.000000
186.579722	21.466846	206.000000
185.816058	21.315184	208.000000
185.052396	21.315184	210.000000
184.441470	21.315184	212.000000
183.525095	21.466846	214.000000
182.914190	21.466846	216.000000
182.303299	21.466846	218.000000
181.386993	21.466846	220.000000
180.776147	21.466846	222.000000
180.012624	21.466846	224.000000
179.249136	21.466846	226.000000
178.333014	21.466846	228.000000
177.416966	21.466846	230.000000
176.653661	21.466846	232.000000
175.890412	21.466846	234.000000
175.279865	21.466846	236.000000
174.669364	21.466846	238.000000
173.753707	21.466846	240.000000
173.143335	21.618467	242.000000
172.533019	21.466846	244.000000
172.227883	21.466846	246.000000
171.617657	21.466846	248.000000
170.854969	21.466846	250.000000
170.092372	21.466846	252.000000
169.329897	21.466846	254.000000
168.567522	21.466846	256.000000
167.957713	21.466846	258.000000
167.500406	21.466846	260.000000
167.043149	21.315184	262.000000
166.433543	21.466846	264.000000
165.671664	21.163523	266.000000
164.909907	21.466846	268.000000
164.605248	21.315184	270.000000
163.996000	21.466846	272.000000
163.386848	21.466846	274.000000
162.777794	21.466846	276.000000
162.168842	21.466846	278.000000
161.255610	21.466846	280.000000
160.951252	21.466846	282.000000
160.494764	21.466846	284.000000
160.038345	21.618467	286.000000
159.581982	21.618467	288.000000
159.125691	21.466846	290.000000
158.669458	21.618467	292.000000
158.213299	21.618467	294.000000
157.909228	21.770088	296.000000
157.301178	21.770088	298.000000
156.693251	21.770088	300.000000
156.085451	21.618467	302.000000
155.629681	21.466846	304.000000
155.173993	21.466846	306.000000
154.566519	21.466846	308.000000
154.262832	21.466846	310.000000
153.503761	21.466846	312.000000
153.048428	21.618467	314.000000
152.441436	21.770088	316.000000
151.986280	21.770088	318.000000
151.531215	21.770088	320.000000
151.227881	21.770088	322.000000
150.621323	21.770088	324.000000
150.318100	21.770088	326.000000
149.711767	21.770088	328.000000
149.105586	21.618467	330.000000
148.499561	21.618467	332.000000
147.893691	21.466846	334.000000
147.590816	21.466846	336.000000
146.985186	21.466846	338.000000
146.531065	21.466846	340.000000
146.077045	21.466846	342.000000
145.623108	21.466846	344.000000
145.169275	21.466846	346.000000
144.564304	21.466846	348.000000
144.110682	21.466846	350.000000
143.657167	21.315184	352.000000
143.052623	21.466846	354.000000
142.599325	21.466846	356.000000
141.995087	21.163523	358.000000
141.542030	21.315184	360.000000
141.089063	21.163523	362.000000
140.636208	21.163523	364.000000
140.032553	21.163523	366.000000
139.429080	21.163523	368.000000
138.825791	21.163523	370.000000
138.373440	21.163523	372.000000
137.921206	21.163523	374.000000
137.469065	21.163523	376.000000
137.167701	21.163523	378.000000
136.715750	21.163523	380.000000
136.113308	21.315184	382.000000
135.812158	21.466846	384.000000
135.210004	21.466846	386.000000
134.909000	21.466846	388.000000
134.608044	21.466846	390.000000
134.307137	21.466846	392.000000
133.705469	21.163523	394.000000
133.404709	21.315184	396.000000
133.103998	21.466846	398.000000
132.803337	21.466846	400.000000
132.502725	21.466846	402.000000
132.051895	21.163523	404.000000
131.601189	21.163523	406.000000
131.300777	21.466846	408.000000
131.000415	21.163523	410.000000
130.399842	21.163523	412.000000
130.249724	21.163523	414.000000
129.799471	21.163523	416.000000
129.349320	21.163523	418.000000
128.899296	21.163523	420.000000
128.449399	21.163523	422.000000
127.999579	21.163523	424.000000
127.849664	21.163523	426.000000
127.699776	21.163523	428.000000
127.400024	21.163523	430.000000
127.400024	21.163523	432.000000
127.400024	21.163523	434.000000
127.250161	21.163523	436.000000
127.250161	21.163523	438.000000
127.250161	21.163523	440.000000
127.549887	21.315184	442.000000
127.549887	21.315184	444.000000
127.849664	21.466846	446.000000
127.849664	21.163523	448.000000
127.849664	21.163523	450.000000
127.849664	21.163523	452.000000
127.999579	21.163523	454.000000
128.149493	21.163523	456.000000
128.149493	21.163523	458.000000
128.149493	21.163523	460.000000
128.449373	21.163523	462.000000
128.299433	21.163523	464.000000
128.149493	21.163523	466.000000
128.149493	21.163523	468.000000
128.149493	21.163523	470.000000
128.449373	21.163523	472.000000
128.449373	21.163523	474.000000
128.449373	21.163523	476.000000
128.449373	21.163523	478.000000
128.449373	21.163523	480.000000
128.449373	21.163523	482.000000
128.449373	21.163523	484.000000
128.449373	21.163523	486.000000
128.449373	21.163523	488.000000
128.299433	21.163523	490.000000
128.299433	21.163523	492.000000
128.149493	21.163523	494.000000
128.149493	21.163523	496.000000
