*
Temp0 deg C	Temp1 deg C	Time (sec)
287.662004	20.849790	2.000000
297.848370	20.849790	4.000000
297.848397	20.849790	6.000000
296.817242	20.849790	8.000000
295.343587	20.849790	10.000000
294.016676	20.849790	12.000000
292.541667	20.849790	14.000000
291.065923	20.849790	16.000000
289.737133	20.849790	18.000000
288.259955	20.849790	20.000000
286.782003	20.849790	22.000000
285.303262	20.849790	24.000000
284.119693	20.849790	26.000000
282.639499	20.849790	28.000000
281.454750	20.849790	30.000000
279.973062	20.849790	32.000000
278.787102	20.849790	34.000000
277.452219	20.849790	36.000000
276.116677	20.849790	38.000000
274.928913	20.849790	40.000000
273.740582	20.849790	42.000000
272.551678	20.849790	44.000000
271.362197	20.849790	46.000000
270.172134	20.849790	48.000000
268.683730	20.849790	50.000000
267.492341	20.849790	52.000000
266.449363	20.849790	54.000000
265.256853	20.849790	56.000000
264.063777	20.849790	58.000000
263.019292	20.849790	60.000000
261.825040	20.849790	62.000000
260.630176	20.849790	64.000000
259.434699	20.849790	66.000000
258.238605	20.849790	68.000000
257.191493	20.849790	70.000000
256.143955	20.849790	72.000000
254.946160	20.849790	74.000000
254.047406	20.849790	76.000000
252.848525	20.849790	78.000000
251.799008	20.849790	80.000000
250.748988	20.849790	82.000000
249.848604	20.849790	84.000000
248.647550	20.849790	86.000000
247.746354	20.849790	88.000000
246.844810	20.849790	90.000000
245.642213	20.849790	92.000000
244.739862	20.849790	94.000000
243.686698	20.849790	96.000000
242.633038	20.849790	98.000000
241.880164	20.849790	100.000000
240.825709	20.849790	102.000000
239.921537	20.849790	104.000000
238.866257	20.849790	106.000000
238.112184	20.849790	108.000000
237.056126	20.849790	110.000000
235.999591	20.849790	112.000000
235.093647	20.849790	114.000000
234.187378	20.849790	116.000000
233.280787	20.849790	118.000000
232.222707	20.849790	120.000000
231.466649	20.849790	122.000000
230.559108	20.849790	124.000000
229.802599	20.849790	126.000000
228.743098	20.849790	128.000000
227.986080	20.849790	130.000000
226.925874	20.849790	132.000000
226.168358	20.849790	134.000000
225.410614	20.849790	136.000000
224.501070	20.849790	138.000000
223.591241	20.849790	140.000000
222.681131	20.849790	142.000000
221.922505	20.849790	144.000000
221.011890	20.849790	146.000000
220.252828	20.849790	148.000000
219.493604	20.849790	150.000000
218.734178	20.849790	152.000000
217.822644	20.849790	154.000000
217.062851	20.849790	156.000000
216.454885	20.849790	158.000000
215.542733	20.849790	160.000000
214.782415	20.849790	162.000000
214.021955	20.849790	164.000000
213.261316	20.849790	166.000000
212.196185	20.849790	168.000000
211.587401	20.849790	170.000000
210.826279	20.849790	172.000000
210.065030	20.849790	174.000000
209.151335	20.849790	176.000000
208.542097	20.849790	178.000000
207.932773	20.849790	180.000000
207.018632	20.849790	182.000000
206.409103	20.849790	184.000000
205.494665	20.849790	186.000000
204.884945	20.849790	188.000000
204.275152	20.849790	190.000000
203.360330	20.849790	192.000000
202.750363	20.849790	194.000000
202.140330	20.849790	196.000000
201.225162	20.849790	198.000000
200.614975	20.849790	200.000000
200.004729	20.849790	202.000000
199.089256	20.849790	204.000000
198.478875	20.849790	206.000000
197.868443	20.849790	208.000000
197.257964	20.849790	210.000000
196.800075	20.849790	212.000000
196.800075	20.849790	214.000000
197.257964	20.849790	216.000000
197.563209	20.849790	218.000000
197.715829	20.849790	220.000000
198.021057	20.849790	222.000000
198.326273	20.849790	224.000000
198.631476	20.849790	226.000000
198.631476	20.849790	228.000000
198.631476	20.849790	230.000000
198.936667	20.849790	232.000000
198.936667	20.849790	234.000000
198.936667	20.849790	236.000000
198.936667	20.849790	238.000000
199.241845	20.849790	240.000000
199.241845	21.001493	242.000000
199.241845	21.153195	244.000000
199.241845	20.849790	246.000000
199.241845	20.849790	248.000000
198.936667	21.001493	250.000000
198.936667	21.001493	252.000000
198.936667	21.153195	254.000000
198.936667	21.001493	256.000000
198.936667	21.001493	258.000000
198.631476	21.153195	260.000000
198.631476	21.153195	262.000000
198.631476	21.153195	264.000000
198.631476	21.153195	266.000000
198.478875	21.001493	268.000000
198.326273	21.153195	270.000000
198.326273	21.001493	272.000000
198.326273	21.001493	274.000000
198.173665	21.153195	276.000000
198.021057	21.153195	278.000000
198.021057	21.153195	280.000000
197.868443	21.153195	282.000000
197.715829	21.153195	284.000000
197.715829	21.153195	286.000000
197.715829	21.153195	288.000000
197.563209	21.153195	290.000000
197.410589	21.153195	292.000000
197.410589	21.001493	294.000000
197.410589	21.153195	296.000000
197.257964	21.153195	298.000000
197.105338	21.153195	300.000000
197.105338	21.153195	302.000000
196.800075	21.153195	304.000000
196.800075	21.153195	306.000000
196.647438	21.153195	308.000000
196.647438	21.153195	310.000000
196.494802	21.153195	312.000000
196.342159	21.153195	314.000000
196.342159	21.153195	316.000000
196.189517	21.153195	318.000000
196.036870	21.153195	320.000000
195.884223	21.153195	322.000000
195.884223	21.153195	324.000000
195.731570	21.153195	326.000000
195.578918	21.153195	328.000000
195.426260	21.153195	330.000000
195.273603	21.153195	332.000000
195.273603	21.153195	334.000000
194.968279	21.153195	336.000000
194.968279	21.153195	338.000000
194.815612	21.153195	340.000000
194.662946	21.153195	342.000000
194.510275	21.153195	344.000000
194.357604	21.153195	346.000000
194.357604	21.153195	348.000000
194.052253	21.153195	350.000000
194.052253	21.153195	352.000000
193.899573	21.153195	354.000000
193.746894	21.153195	356.000000
193.594210	21.153195	358.000000
193.441527	21.153195	360.000000
193.441527	21.153195	362.000000
193.136152	21.153195	364.000000
193.136152	21.153195	366.000000
192.830770	21.153195	368.000000
192.830770	21.153195	370.000000
192.678075	21.153195	372.000000
192.525381	21.456520	374.000000
192.372683	21.153195	376.000000
192.219985	21.153195	378.000000
192.067284	21.153195	380.000000
191.914582	21.304858	382.000000
191.761878	21.304858	384.000000
191.609174	21.153195	386.000000
191.456467	21.304858	388.000000
191.303759	21.304858	390.000000
191.151049	21.153195	392.000000
190.998339	21.304858	394.000000
190.998339	21.456520	396.000000
190.692914	21.304858	398.000000
190.692914	21.456520	400.000000
190.387484	21.304858	402.000000
190.387484	21.456520	404.000000
190.082049	21.456520	406.000000
190.082049	21.456520	408.000000
189.776610	21.456520	410.000000
189.623889	21.304858	412.000000
189.471168	21.456520	414.000000
189.471168	21.456520	416.000000
189.165721	21.456520	418.000000
189.012996	21.456520	420.000000
188.860271	21.456520	422.000000
188.860271	21.456520	424.000000
188.554818	21.456520	426.000000
188.402090	21.456520	428.000000
188.249363	21.456520	430.000000
188.096634	21.456520	432.000000
187.943905	21.456520	434.000000
187.791174	21.456520	436.000000
187.485714	21.456520	438.000000
187.332983	21.456520	440.000000
187.180251	21.456520	442.000000
187.027519	21.456520	444.000000
186.874787	21.456520	446.000000
186.722055	21.456520	448.000000
186.416590	21.456520	450.000000
186.263857	21.456520	452.000000
186.111124	21.456520	454.000000
185.958392	21.456520	456.000000
185.805659	21.456520	458.000000
185.500193	21.456520	460.000000
185.347461	21.456520	462.000000
185.194728	21.456520	464.000000
184.889264	21.456520	466.000000
184.889264	21.456520	468.000000
184.583801	21.456520	470.000000
184.431071	21.456520	472.000000
184.278340	21.456520	474.000000
183.972880	21.456520	476.000000
183.820152	21.456520	478.000000
183.667423	21.456520	480.000000
183.514696	21.456520	482.000000
183.361968	21.456520	484.000000
183.056516	21.456520	486.000000
182.751067	21.456520	488.000000
182.598344	21.456520	490.000000
182.445622	21.456520	492.000000
182.140180	21.456520	494.000000
181.987461	21.456520	496.000000
181.834742	21.456520	498.000000
181.529309	21.456520	500.000000
181.376595	21.456520	502.000000
181.223881	21.456520	504.000000
180.918458	21.456520	506.000000
180.765749	21.456520	508.000000
180.613040	21.456520	510.000000
180.307629	21.456520	512.000000
180.002223	21.456520	514.000000
179.849523	21.304858	516.000000
179.696824	21.456520	518.000000
179.391431	21.456520	520.000000
179.086046	21.456520	522.000000
179.086046	21.456520	524.000000
178.780668	21.456520	526.000000
