*
Temp0 deg C	Temp1 deg C	Time (sec)
154.183273	21.045959	2.000000
196.994239	21.045959	4.000000
216.802759	21.045959	6.000000
227.120112	21.045959	8.000000
236.948676	21.045959	10.000000
244.181140	21.045959	12.000000
253.041122	21.045959	14.000000
260.076090	21.197636	16.000000
264.256436	21.197636	18.000000
270.661927	21.045959	20.000000
273.338359	21.197636	22.000000
273.932710	21.045959	24.000000
273.932710	21.045959	26.000000
273.486969	21.045959	28.000000
273.189767	21.045959	30.000000
272.595254	21.045959	32.000000
271.851896	21.045959	34.000000
270.959583	21.045959	36.000000
270.215753	21.045959	38.000000
269.173972	21.045959	40.000000
268.280669	21.045959	42.000000
267.089078	20.894243	44.000000
265.598749	21.045959	46.000000
264.405809	21.045959	48.000000
263.510707	20.894243	50.000000
262.615263	21.045959	52.000000
261.719477	21.045959	54.000000
260.524559	21.045959	56.000000
259.179557	21.045959	58.000000
258.282446	21.045959	60.000000
257.384987	21.045959	62.000000
256.786489	21.045959	64.000000
256.187835	21.045959	66.000000
257.534419	21.045959	68.000000
260.225734	21.045959	70.000000
260.524578	21.045959	72.000000
260.524578	20.894243	74.000000
260.524578	21.045959	76.000000
260.524578	21.045959	78.000000
260.225753	21.045959	80.000000
260.225753	21.045959	82.000000
260.225753	21.045959	84.000000
259.926889	21.045959	86.000000
259.926889	21.045959	88.000000
259.926889	21.045959	90.000000
259.627987	21.045959	92.000000
259.478517	21.045959	94.000000
259.329046	21.045959	96.000000
259.329046	21.045959	98.000000
259.179557	20.894243	100.000000
259.179557	21.045959	102.000000
258.880558	20.894243	104.000000
258.581521	21.045959	106.000000
258.431993	20.894243	108.000000
258.282446	20.894243	110.000000
258.282446	20.742526	112.000000
258.132898	20.742526	114.000000
258.132898	20.742526	116.000000
258.132898	20.742526	118.000000
258.132898	20.742526	120.000000
258.132898	20.742526	122.000000
258.132898	20.742526	124.000000
257.833765	20.742526	126.000000
257.833765	20.894243	128.000000
257.833765	21.045959	130.000000
257.833765	21.045959	132.000000
257.833765	21.045959	134.000000
257.833765	21.045959	136.000000
257.534593	20.894243	138.000000
257.384987	20.894243	140.000000
257.085757	20.894243	142.000000
257.085757	20.742526	144.000000
256.936133	21.045959	146.000000
256.636845	20.742526	148.000000
256.636845	20.894243	150.000000
256.636845	20.742526	152.000000
256.636845	20.894243	154.000000
256.636845	20.894243	156.000000
256.636845	20.894243	158.000000
256.487181	21.045959	160.000000
256.337518	21.045959	162.000000
256.337518	21.045959	164.000000
256.038152	21.045959	166.000000
256.038152	21.045959	168.000000
255.738748	21.045959	170.000000
255.439305	21.045959	172.000000
255.139823	21.045959	174.000000
255.139823	21.045959	176.000000
255.139823	21.197636	178.000000
254.840302	21.349313	180.000000
254.840302	21.349313	182.000000
254.690523	21.349313	184.000000
254.540743	21.349313	186.000000
254.540743	21.349313	188.000000
254.241145	21.197636	190.000000
254.241145	21.349313	192.000000
254.091326	21.349313	194.000000
253.791670	21.349313	196.000000
253.641832	21.349313	198.000000
253.342117	21.349313	200.000000
253.342117	21.349313	202.000000
253.342117	21.349313	204.000000
253.192240	21.349313	206.000000
253.042364	21.349313	208.000000
253.042364	21.349313	210.000000
252.892467	21.349313	212.000000
252.742571	21.349313	214.000000
252.442740	21.349313	216.000000
252.292805	21.349313	218.000000
252.142870	21.349313	220.000000
251.842961	21.349313	222.000000
251.842961	21.349313	224.000000
251.692988	21.349313	226.000000
251.543014	21.349313	228.000000
251.543014	21.349313	230.000000
251.243027	21.349313	232.000000
251.243027	21.349313	234.000000
250.943002	21.349313	236.000000
250.943002	21.349313	238.000000
250.792970	21.349313	240.000000
250.642938	21.349313	242.000000
250.642938	21.349313	244.000000
250.342836	21.349313	246.000000
250.342836	21.349313	248.000000
250.342836	21.349313	250.000000
250.342836	21.349313	252.000000
250.342836	21.349313	254.000000
250.342836	21.349313	256.000000
250.342836	21.349313	258.000000
250.342836	21.349313	260.000000
250.192765	21.349313	262.000000
249.892604	21.349313	264.000000
249.892604	21.349313	266.000000
249.742514	21.349313	268.000000
249.742514	21.349313	270.000000
249.442295	21.349313	272.000000
249.292166	21.349313	274.000000
249.142037	21.349313	276.000000
249.142037	21.349313	278.000000
248.991889	21.349313	280.000000
248.841740	21.349313	282.000000
248.841740	21.349313	284.000000
248.691573	21.349313	286.000000
248.541405	21.349313	288.000000
248.391218	21.197636	290.000000
248.241031	21.045959	292.000000
247.940619	21.045959	294.000000
247.940619	21.045959	296.000000
247.640168	21.045959	298.000000
247.489923	21.045959	300.000000
247.339678	21.045959	302.000000
247.189414	21.045959	304.000000
246.888867	21.045959	306.000000
246.738583	21.045959	308.000000
246.437978	21.045959	310.000000
246.287656	21.045959	312.000000
245.986993	21.045959	314.000000
245.836652	21.045959	316.000000
245.535931	21.045959	318.000000
245.235172	21.045959	320.000000
244.934375	21.197636	322.000000
244.783957	21.349313	324.000000
244.332665	21.045959	326.000000
244.031753	21.045959	328.000000
243.580309	21.045959	330.000000
242.978256	21.197636	332.000000
242.526621	21.197636	334.000000
242.225481	21.197636	336.000000
241.924303	21.349313	338.000000
241.773695	21.197636	340.000000
241.472460	21.197636	342.000000
241.020541	21.045959	344.000000
240.568529	21.045959	346.000000
240.267144	21.197636	348.000000
239.814981	21.349313	350.000000
239.362763	21.349313	352.000000
239.061228	21.349313	354.000000
238.458046	21.197636	356.000000
238.005549	21.349313	358.000000
237.552997	21.197636	360.000000
236.949446	21.045959	362.000000
236.647615	21.197636	364.000000
236.043845	21.197636	366.000000
235.439929	21.197636	368.000000
234.835868	21.349313	370.000000
234.533784	21.349313	372.000000
234.080594	21.349313	374.000000
233.627315	21.349313	376.000000
233.022825	21.349313	378.000000
232.569368	21.349313	380.000000
232.115824	21.349313	382.000000
231.813419	21.349313	384.000000
231.510980	21.349313	386.000000
230.905998	21.349313	388.000000
230.603455	21.349313	390.000000
230.300877	21.349313	392.000000
229.695618	21.349313	394.000000
229.241589	21.349313	396.000000
228.787474	21.349313	398.000000
228.030443	21.197636	400.000000
227.273228	21.045959	402.000000
226.667297	21.045959	404.000000
226.061235	21.045959	406.000000
225.455043	21.045959	408.000000
224.848722	21.045959	410.000000
224.090629	21.197636	412.000000
223.484038	21.045959	414.000000
222.877307	21.349313	416.000000
222.270437	21.349313	418.000000
221.511708	21.349313	420.000000
220.600971	21.349313	422.000000
219.841809	21.349313	424.000000
219.082487	21.349313	426.000000
218.171051	21.349313	428.000000
217.411317	21.349313	430.000000
216.651430	21.349313	432.000000
215.739331	21.349313	434.000000
214.674903	21.349313	436.000000
213.762293	21.349313	438.000000
213.001620	21.500949	440.000000
212.240774	21.500949	442.000000
211.327573	21.652586	444.000000
210.566418	21.652586	446.000000
209.652834	21.500949	448.000000
208.891354	21.500949	450.000000
207.977409	21.349313	452.000000
207.063277	21.349313	454.000000
206.148965	21.349313	456.000000
205.386911	21.500949	458.000000
204.472284	21.500949	460.000000
203.709965	21.349313	462.000000
202.795047	21.652586	464.000000
202.032508	21.652586	466.000000
201.269859	21.500949	468.000000
200.507126	21.500949	470.000000
199.744293	21.349313	472.000000
198.981383	21.349313	474.000000
198.218383	21.349313	476.000000
197.455315	21.349313	478.000000
196.692165	21.349313	480.000000
196.081600	21.349313	482.000000
195.318340	21.349313	484.000000
194.402344	21.500949	486.000000
193.791637	21.500949	488.000000
192.875516	21.652586	490.000000
192.264733	21.500949	492.000000
191.501216	21.500949	494.000000
190.737667	21.500949	496.000000
190.126804	21.349313	498.000000
189.363199	21.652586	500.000000
188.599575	21.500949	502.000000
187.835932	21.349313	504.000000
187.072278	21.349313	506.000000
186.461349	21.349313	508.000000
185.697685	21.349313	510.000000
184.934023	21.349313	512.000000
184.323099	21.349313	514.000000
183.712181	21.349313	516.000000
183.101273	21.349313	518.000000
182.337658	21.349313	520.000000
181.574064	21.349313	522.000000
180.963211	21.349313	524.000000
180.352380	21.349313	526.000000
179.741574	21.349313	528.000000
178.825415	21.349313	530.000000
178.214681	21.349313	532.000000
177.603981	21.349313	534.000000
176.840661	21.349313	536.000000
176.077396	21.349313	538.000000
175.314206	21.349313	540.000000
174.551080	21.349313	542.000000
173.940639	21.349313	544.000000
173.177667	21.349313	546.000000
172.414772	21.349313	548.000000
171.804527	21.349313	550.000000
171.194344	21.349313	552.000000
170.584226	21.349313	554.000000
169.669176	21.349313	556.000000
168.754286	21.197636	558.000000
168.144454	21.349313	560.000000
167.534700	21.349313	562.000000
166.925026	21.349313	564.000000
166.163060	21.349313	566.000000
165.401214	21.349313	568.000000
164.791844	21.349313	570.000000
164.182567	21.349313	572.000000
163.573385	21.349313	574.000000
162.964301	21.045959	576.000000
162.355318	21.197636	578.000000
162.050865	21.045959	580.000000
161.442037	21.197636	582.000000
161.137663	21.349313	584.000000
160.681150	21.349313	586.000000
160.224705	21.349313	588.000000
159.616205	21.349313	590.000000
159.311998	21.349313	592.000000
158.703672	21.349313	594.000000
158.399552	21.349313	596.000000
157.791404	21.349313	598.000000
157.183377	21.349313	600.000000
156.575475	21.349313	602.000000
155.967700	21.349313	604.000000
155.663860	21.349313	606.000000
155.360053	21.349313	608.000000
154.752539	21.349313	610.000000
154.296986	21.500949	612.000000
153.841518	21.349313	614.000000
153.234343	21.349313	616.000000
152.930807	21.349313	618.000000
152.323842	21.349313	620.000000
151.717020	21.349313	622.000000
151.110344	21.349313	624.000000
150.807060	21.349313	626.000000
150.200606	21.349313	628.000000
149.291208	21.045959	630.000000
148.685134	21.045959	632.000000
148.230677	21.045959	634.000000
147.776318	21.045959	636.000000
147.473458	21.045959	638.000000
147.019239	21.045959	640.000000
146.716480	21.045959	642.000000
146.262423	21.045959	644.000000
145.657150	21.045959	646.000000
145.052044	21.045959	648.000000
144.598319	21.045959	650.000000
144.295893	21.045959	652.000000
143.842338	21.045959	654.000000
143.540018	20.894243	656.000000
142.935508	21.045959	658.000000
142.633319	21.045959	660.000000
142.331173	21.045959	662.000000
141.878031	21.045959	664.000000
141.425001	21.045959	666.000000
140.821109	21.045959	668.000000
140.368303	21.045959	670.000000
139.915611	21.045959	672.000000
139.463009	21.045959	674.000000
139.010523	21.045959	676.000000
138.407363	21.045959	678.000000
138.105853	21.045959	680.000000
137.502973	21.045959	682.000000
137.201603	21.045959	684.000000
136.749632	21.197636	686.000000
136.448382	21.045959	688.000000
135.996602	21.045959	690.000000
135.695471	21.045959	692.000000
135.394388	21.045959	694.000000
135.093354	21.045959	696.000000
134.641888	21.045959	698.000000
134.190543	21.045959	700.000000
133.739297	21.045959	702.000000
133.438531	21.045959	704.000000
133.137815	21.045959	706.000000
132.686839	21.045959	708.000000
132.386247	21.045959	710.000000
131.935445	21.045959	712.000000
131.634977	21.045959	714.000000
131.184376	21.045959	716.000000
130.884033	21.045959	718.000000
130.283499	21.045959	720.000000
129.983308	21.045959	722.000000
129.383078	21.045959	724.000000
129.083039	21.045959	726.000000
128.483114	21.045959	728.000000
127.883394	20.894243	730.000000
127.583611	21.045959	732.000000
