System ID,,"4483C11302J"
Method name only,,"Tension_Flat_Weld_NEW"
Test type,,"Tension"
Sample file name,,"N02B6061Butt"
Last test date,,"Monday, November 4, 2024"
Last test time,,"4:55:03 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"B"
Material,,"6061"
Weld Type,,"Butt"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width of Specimen and Weld w,(mm),"16.92"
Specimen Thickness t,(mm),"9.22"
Weld Thickness tw,(mm),"14.24"
Specimen Gage Length,(mm),"64.65"
Fracture Type and Location,,""
Unwelded Gap Thickness tg (mm),,"4.79"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"17.86"

Time,Displacement,Force
(s),(mm),(kN)
"0.00","0.00","0.1679"
"0.50","0.03","0.4889"
"1.00","0.06","0.6164"
"1.50","0.10","0.7385"
"2.00","0.13","0.8669"
"2.50","0.16","1.006"
"3.00","0.20","1.155"
"3.50","0.23","1.314"
"4.00","0.26","1.485"
"4.50","0.30","1.668"
"5.00","0.33","1.857"
"5.50","0.36","2.054"
"6.00","0.40","2.254"
"6.50","0.43","2.446"
"7.00","0.46","2.634"
"7.50","0.50","2.815"
"8.00","0.53","2.994"
"8.50","0.56","3.175"
"9.00","0.60","3.356"
"9.50","0.63","3.542"
"10.00","0.66","3.733"
"10.50","0.70","3.925"
"11.00","0.73","4.123"
"11.50","0.76","4.326"
"12.00","0.80","4.529"
"12.50","0.83","4.736"
"13.00","0.86","4.948"
"13.50","0.90","5.157"
"14.00","0.93","5.373"
"14.50","0.96","5.593"
"15.00","1.00","5.812"
"15.50","1.03","6.037"
"16.00","1.06","6.263"
"16.50","1.10","6.490"
"17.00","1.13","6.725"
"17.50","1.16","6.957"
"18.00","1.20","7.194"
"18.50","1.23","7.437"
"19.00","1.26","7.677"
"19.50","1.30","7.921"
"20.00","1.33","8.167"
"20.50","1.36","8.413"
"21.00","1.40","8.662"
"21.50","1.43","8.917"
"22.00","1.46","9.165"
"22.50","1.50","9.419"
"23.00","1.53","9.675"
"23.50","1.56","9.927"
"24.00","1.60","10.19"
"24.50","1.63","10.44"
"25.00","1.66","10.70"
"25.50","1.70","10.95"
"26.00","1.73","11.21"
"26.50","1.76","11.47"
"27.00","1.80","11.73"
"27.50","1.83","11.99"
"28.00","1.86","12.24"
"28.50","1.90","12.50"
"29.00","1.93","12.76"
"29.50","1.96","13.01"
"30.00","2.00","13.27"
"30.50","2.03","13.52"
"31.00","2.06","13.78"
"31.50","2.10","14.03"
"32.00","2.13","14.28"
"32.50","2.16","14.54"
"33.00","2.20","14.79"
"33.50","2.23","15.04"
"34.00","2.26","15.29"
"34.50","2.30","15.54"
"35.00","2.33","15.78"
"35.50","2.36","16.03"
"36.00","2.40","16.27"
"36.50","2.43","16.50"
"37.00","2.46","16.74"
"37.50","2.50","16.97"
"38.00","2.53","17.19"
"38.50","2.56","17.41"
"39.00","2.60","17.60"
"39.50","2.63","17.77"
"40.00","2.66","17.86"
"40.50","2.70","17.76"
"41.00","2.73","17.59"
"41.50","2.76","17.26"
"42.00","2.80","16.82"
"42.50","2.83","15.91"
"43.00","2.86","14.86"
"43.50","2.90","0.2393"
"44.00","2.93","0.2438"
"44.50","2.96","0.2455"
"45.00","3.00","0.2465"
"45.50","3.03","0.2079"
"46.00","3.06","0.1882"
"46.50","3.10","0.1649"
"47.00","3.13","0.1446"
"47.50","3.16","0.1282"
"48.00","3.20","0.1166"
"48.50","3.23","0.05305"
"49.00","3.26","0.04875"
"49.07","3.27","0.04615"

