System ID,,"4483J11304"
Method name only,,"Tension_Flat_Weld_NEW"
Test type,,"Tension"
Sample file name,,"N02-A-6061-Cham"
Last test date,,"Monday, November 4, 2024"
Last test time,,"4:55:29 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"A"
Material,,"6061 Aluminum"
Weld Type,,"Chamfer"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width of Specimen and Weld w,(mm),"16.92"
Specimen Thickness t,(mm),"9.52"
Weld Thickness tw,(mm),"14.52"
Specimen Gage Length,(mm),"61.38"
Fracture Type and Location,,"thickness of unwelded gap: 2.45 mm."
Unwelded Gap Thickness tg (mm),,"0.00"
Notes During Test,,"less welding material? less necking. 
1018 is stronger than aluminum because 1018 fractured at the top of weld. aluminum fractured in middle of weld. 
"

Results Table 1
,,"1"
Maximum Force,(kN),"23.74"

Time,Displacement,Force
(s),(mm),(kN)
"0.00","0.00","-0.02982"
"0.50","0.03","0.1407"
"1.00","0.06","0.2321"
"1.50","0.09","0.2675"
"2.00","0.13","0.2995"
"2.50","0.16","0.3352"
"3.00","0.19","0.3754"
"3.50","0.23","0.4200"
"4.00","0.26","0.4711"
"4.50","0.29","0.5263"
"5.00","0.33","0.5827"
"5.50","0.36","0.6408"
"6.00","0.39","0.7028"
"6.50","0.43","0.7687"
"7.00","0.46","0.8394"
"7.50","0.49","0.9153"
"8.00","0.53","0.9962"
"8.50","0.56","1.082"
"9.00","0.59","1.175"
"9.50","0.63","1.272"
"10.00","0.66","1.375"
"10.50","0.69","1.482"
"11.00","0.73","1.596"
"11.50","0.76","1.716"
"12.00","0.79","1.838"
"12.50","0.83","1.966"
"13.00","0.86","2.099"
"13.50","0.89","2.233"
"14.00","0.93","2.374"
"14.50","0.96","2.517"
"15.00","0.99","2.670"
"15.50","1.03","2.823"
"16.00","1.06","2.977"
"16.50","1.09","3.137"
"17.00","1.13","3.300"
"17.50","1.16","3.466"
"18.00","1.19","3.632"
"18.50","1.23","3.808"
"19.00","1.26","3.983"
"19.50","1.29","4.160"
"20.00","1.33","4.339"
"20.50","1.36","4.523"
"21.00","1.39","4.709"
"21.50","1.43","4.900"
"22.00","1.46","5.089"
"22.50","1.49","5.284"
"23.00","1.53","5.479"
"23.50","1.56","5.676"
"24.00","1.59","5.880"
"24.50","1.63","6.085"
"25.00","1.66","6.291"
"25.50","1.69","6.501"
"26.00","1.73","6.712"
"26.50","1.76","6.922"
"27.00","1.79","7.146"
"27.50","1.83","7.366"
"28.00","1.86","7.584"
"28.50","1.89","7.810"
"29.00","1.93","8.037"
"29.50","1.96","8.267"
"30.00","1.99","8.500"
"30.50","2.03","8.730"
"31.00","2.06","8.969"
"31.50","2.09","9.207"
"32.00","2.13","9.446"
"32.50","2.16","9.688"
"33.00","2.19","9.936"
"33.50","2.23","10.18"
"34.00","2.26","10.43"
"34.50","2.29","10.67"
"35.00","2.33","10.92"
"35.50","2.36","11.17"
"36.00","2.39","11.42"
"36.50","2.43","11.67"
"37.00","2.46","11.92"
"37.50","2.49","12.17"
"38.00","2.53","12.43"
"38.50","2.56","12.69"
"39.00","2.59","12.94"
"39.50","2.63","13.20"
"40.00","2.66","13.45"
"40.50","2.69","13.70"
"41.00","2.73","13.96"
"41.50","2.76","14.22"
"42.00","2.79","14.47"
"42.50","2.83","14.72"
"43.00","2.86","14.97"
"43.50","2.89","15.22"
"44.00","2.93","15.47"
"44.50","2.96","15.72"
"45.00","2.99","15.95"
"45.50","3.03","16.19"
"46.00","3.06","16.42"
"46.50","3.09","16.65"
"47.00","3.13","16.87"
"47.50","3.16","17.10"
"48.00","3.19","17.31"
"48.50","3.23","17.53"
"49.00","3.26","17.74"
"49.50","3.29","17.95"
"50.00","3.33","18.15"
"50.50","3.36","18.36"
"51.00","3.39","18.56"
"51.50","3.43","18.75"
"52.00","3.46","18.94"
"52.50","3.49","19.14"
"53.00","3.53","19.32"
"53.50","3.56","19.50"
"54.00","3.59","19.69"
"54.50","3.63","19.87"
"55.00","3.66","20.05"
"55.50","3.69","20.23"
"56.00","3.73","20.40"
"56.50","3.76","20.57"
"57.00","3.79","20.74"
"57.50","3.83","20.90"
"58.00","3.86","21.07"
"58.50","3.89","21.23"
"59.00","3.93","21.39"
"59.50","3.96","21.54"
"60.00","3.99","21.70"
"60.50","4.03","21.85"
"61.00","4.06","21.99"
"61.50","4.09","22.14"
"62.00","4.13","22.28"
"62.50","4.16","22.42"
"63.00","4.19","22.56"
"63.50","4.23","22.69"
"64.00","4.26","22.83"
"64.50","4.29","22.95"
"65.00","4.33","23.07"
"65.50","4.36","23.18"
"66.00","4.39","23.28"
"66.50","4.43","23.39"
"67.00","4.46","23.47"
"67.50","4.49","23.56"
"68.00","4.53","23.65"
"68.50","4.56","23.72"
"69.00","4.59","23.74"
"69.50","4.63","23.71"
"70.00","4.66","23.60"
"70.50","4.69","23.03"
"71.00","4.73","22.13"
"71.50","4.76","20.45"
"72.00","4.80","0.009693"
"72.50","4.83","0.008861"
"73.00","4.86","0.009292"
"73.50","4.89","0.009231"
"74.00","4.93","0.01030"
"74.24","4.94","0.01026"

